"Rank","Player","Team","Bye","POS","ESPN","RTSports","MFL","Fantrax","FFC","Sleeper","AVG"
"237","Quincy Enunwa","","","WR80","","229","261","237","","","242.3"
"238","Kenneth Dixon","","","RB70","","251","282","202","","","245.0"
"239","Chase Edmonds","DEN","10","RB71","","224","254","257","","","245.0"
"240","Tre'Quan Smith","NO","6","WR81","","234","253","253","","","246.7"
"241","Darren Sproles","","","RB72","","241","280","222","","","247.7"
"242","Cole Beasley","","","WR82","","264","249","231","","","248.0"
"243","Phillip Dorsett II","HOU","10","WR83","","213","265","267","","","248.3"
"244","Kansas City Chiefs","DST","12","DST17","","184","220","","","","202.0"
"245","John Kelly Jr.","CLE","11","RB73","","245","245","266","","","252.0"
"246","Seattle Seahawks","DST","7","DST18","","196","219","","","","207.5"
"247","Jonathan Stewart","","","RB74","","244","291","230","","","255.0"
"248","Terrelle Pryor Sr.","","","WR84","","254","300","213","","","255.7"
"249","Lamar Jackson","BAL","10","QB31","","311","233","223","","","255.7"
"250","Dallas Goedert","PHI","9","TE28","","266","242","259","","","255.7"
"251","Sam Darnold","CAR","4","QB32","","318","198","254","","","256.7"
"252","Cordarrelle Patterson","ATL","8","RB75","","287","286","203","","","258.7"
"253","Brandon Marshall","","","WR85","","242","287","248","","","259.0"
"254","Brandon McManus","DEN","10","K16","","249","255","278","","","260.7"
"255","Sam Bradford","","","QB33","","279","251","255","","","261.7"
"256","Josh Lambo","","","K17","","282","269","240","","","263.7"
"257","Rod Smith","","","RB76","","259","264","272","","","265.0"
"258","Dante Pettis","CHI","5 ","WR86","","276","270","250","","","265.3"
"259","Jermaine Kearse","","","WR87","","310","281","206","","","265.7"
"260","Dan Bailey","","","K18","","223","232","343","","","266.0"
"261","Pharoh Cooper","ARI","9","WR88","","","","112","","","112.0"
"262","Jake Butt ","","","TE29","","295","283","224","","","267.3"
"263","Detroit Lions","DST","6","DST19","","233","238","","","","235.5"
"264","Tavon Austin","","","WR89","","315","301","209","","","275.0"
"265","Vernon Davis","","","TE30","","308","262","258","","","276.0"
"266","Nick Foles","IND","9","QB34","","261","285","282","","","276.0"
"267","Corey Coleman","","","WR90","","293","295","241","","","276.3"
"268","Travis Benjamin","","","WR91","","281","297","252","","","276.7"
"269","Albert Wilson","LV"," ","WR92","","275","310","247","","","277.3"
"270","Ryan Grant ","","","WR93","","230","259","369","","","286.0"
"271","Alex Erickson","WAS","4","WR94","","","","151","","","151.0"
"272","Antonio Callaway","DAL","8","WR95","","271","279","292","","","280.7"
"273","Ameer Abdullah","LV","","RB77","","274","289","279","","","280.7"
"274","Hunter Henry","NE","11","TE31","","","154","461","","","307.5"
"275","Dallas Cowboys","DST","8","DST20","","257","243","","","","250.0"
"276","Josh Rosen","","","QB35","","341","228","277","","","282.0"
"277","Ryan Griffin","CHI","5","TE32","","305","296","245","","","282.0"
"278","Ryan Switzer","","","WR96","","","","160","","","160.0"
"279","C.J. Prosise ","","","RB78","","258","313","283","","","284.7"
"280","Josh Allen","BUF","11","QB36","","332","248","275","","","285.0"
"281","Stephen Hauschka","","","K19","","299","266","290","","","285.0"
"282","Green Bay Packers","DST","7","DST21","","255","257","","","","256.0"
"283","Wayne Gallman Jr.","","","RB79","","265","293","301","","","286.3"
"284","Ka'imi Fairbairn","HOU","10","K20","","","284","232","","","258.0"
"285","Cleveland Browns","DST","11","DST22","","263","256","","","","259.5"
"286","Nick Vannett","NYG","9","TE33","","335","236","294","","","288.3"
"287","D.J. Chark Jr.","DET","6","WR97","","319","288","264","","","290.3"
"288","Jakeem Grant Sr.","CLE","11","WR98","","","","183","","","183.0"
"289","Ed Dickson","","","TE34","","344","294","235","","","291.0"
"290","Mike Gillislee","","","RB80","","267","302","304","","","291.0"
"291","Andre Roberts","CAR","4","WR99","","","","185","","","185.0"
"292","Dustin Hopkins","LAC","8","K21","","292","275","313","","","293.3"
"293","Kevin White","N","6 O","WR100","","277","304","299","","","293.3"
"294","Laquon Treadwell","SEA","7","WR101","","250","312","322","","","294.7"
"295","Phil Dawson ","","","K22","","278","271","339","","","296.0"
"296","Jordan Matthews","SF","11","WR102","","","","201","","","201.0"
"297","Jaylen Samuels","","","RB81","","321","","225","","","273.0"
"298","Willie Snead IV","SF","11","WR103","","","308","238","","","273.0"
"299","Corey Grant ","","","RB82","","314","307","271","","","297.3"
"300","Luke Willson","","","TE35","","337","303","256","","","298.7"
"301","Chris Warren III","","","RB83","","253","299","","","","276.0"
"302","Trevor Davis","","","WR104","","","","208","","","208.0"
"303","Kai Forbath","LAR","12","K23","","284","","269","","","276.5"
"304","Buffalo Bills","DST","11","DST23","","316","239","","","","277.5"
"305","Malcolm Brown","LAR","12 ","RB84","","252","","305","","","278.5"
"306","Elijah McGuire","","","RB85","","317","","244","","","280.5"
"307","Cincinnati Bengals","DST","9","DST24","","285","276","","","","280.5"
"308","Sebastian Janikowski","","","K24","","294","268","355","","","305.7"
"309","Zay Jones","JAC","9","WR105","","296","","268","","","282.0"
"310","Caleb Sturgis","","","K25","","312","252","354","","","306.0"
"311","Geoff Swaim","TEN","8 ","TE36","","","277","289","","","283.0"
"312","New York Giants","DST","9","DST25","","288","278","","","","283.0"
"313","Taylor Gabriel","","","WR106","","333","","236","","","284.5"
"314","Jesse James","CLE","11","TE37","","","306","263","","","284.5"
"315","Jonathan Williams","WAS","4","RB86","","280","290","","","","285.0"
"316","Virgil Green","","","TE38","","339","298","280","","","305.7"
"317","J'Mon Moore","","","WR107","","270","","310","","","290.0"
"318","Brandon Zylstra","DET","6","WR108","","","","239","","","239.0"
"319","Cairo Santos","CHI","5","K26","","","247","363","","","305.0"
"320","Jake Kumerow","BUF","11","WR109","","302","","291","","","296.5"
"321","Alfred Blue","","","RB87","","290","305","370","","","321.7"
"322","Washington Commanders","DST","4","DST26","","336","260","","","","298.0"
"323","Torrey Smith","","","WR110","","272","","324","","","298.0"
"324","San Francisco 49ers","DST","11","DST27","","328","272","","","","300.0"
"325","J.J. Nelson","","","WR111","","297","","303","","","300.0"
"326","Stephen Anderson","ARI","9","TE39","","343","","260","","","301.5"
"327","Tampa Bay Buccaneers","DST","5","DST28","","331","274","","","","302.5"
"328","Mark Andrews","BAL","10","TE40","","","","261","","","261.0"
"329","Adam Shaheen","MIA","11","TE41","","","","262","","","262.0"
"330","Tyler Kroft","SF","11 ","TE42","","334","","273","","","303.5"
"331","Rico Gathers","","","TE43","","","","265","","","265.0"
"332","Boston Scott","PHI","9","RB88","","268","","406","","","337.0"
"333","Jaron Brown","","","WR112","","338","311","311","","","320.0"
"334","Gerald Everett","LAC","8","TE44","","342","","274","","","308.0"
"335","Tyler Boyd","CIN","9","WR113","","307","309","371","","","329.0"
"336","Brett Maher","DAL","8","K27","","273","","393","","","333.0"
"337","Curtis Samuel","WAS","4","WR114","","","","276","","","276.0"
"338","Blake Jarwin","","","TE45","","","","281","","","281.0"
"339","Adam Humphries","","","WR115","","","292","335","","","313.5"
"340","Joe Williams","","","RB89","","330","","298","","","314.0"
"341","Jalen Richard","","","RB90","","301","","327","","","314.0"
"342","Wendell Smallwood","","","RB91","","283","","381","","","332.0"
